Catalogue,Findspot,Province,Denomination,Mint_Year,Mint
457,Rusguniae,Numidia,sestertius,235.0,Rome
458,Rusguniae,Numidia,sestertius,235.0,Rome
459,Rusguniae,Numidia,sestertius,235.0,Rome
460,Rusguniae,Numidia,sestertius,235.0,Rome
461,Rusguniae,Numidia,sestertius,235.0,Rome
462,Rusguniae,Numidia,sestertius,235.0,Rome
463,Rusguniae,Numidia,sestertius,235.0,Rome
464,Rusguniae,Numidia,sestertius,235.0,Rome
465,Rusguniae,Numidia,sestertius,237.0,Rome
466,Rusguniae,Numidia,sestertius,237.0,Rome
467,Rusguniae,Numidia,sestertius,237.0,Rome
468,Rusguniae,Numidia,sestertius,237.0,Rome
469,Rusguniae,Numidia,sestertius,237.0,Rome
470,Rusguniae,Numidia,sestertius,238.0,Rome
471,Rusguniae,Numidia,sestertius,239.0,Rome
472,Rusguniae,Numidia,sestertius,239.0,Rome
473,Rusguniae,Numidia,sestertius,240.0,Rome
474,Rusguniae,Numidia,sestertius,240.0,Rome
475,Rusguniae,Numidia,sestertius,240.0,Rome
476,Rusguniae,Numidia,sestertius,242.0,Rome
477,Rusguniae,Numidia,sestertius,242.0,Rome
478,Rusguniae,Numidia,sestertius,242.0,Rome
479,Rusguniae,Numidia,sestertius,242.0,Rome
480,Rusguniae,Numidia,sestertius,242.0,Rome
481,Rusguniae,Numidia,sestertius,242.0,Rome
482,Rusguniae,Numidia,sestertius,242.0,Rome
483,Rusguniae,Numidia,sestertius,242.0,Rome
484,Rusguniae,Numidia,sestertius,242.0,Rome
485,Rusguniae,Numidia,sestertius,241.0,Rome
486,Rusguniae,Numidia,sestertius,242.0,Rome
487,Rusguniae,Numidia,sestertius,244.0,Rome
488,Rusguniae,Numidia,sestertius,244.0,Rome
489,Rusguniae,Numidia,sestertius,244.0,Rome
490,Rusguniae,Numidia,sestertius,245.0,Rome
491,Rusguniae,Numidia,sestertius,247.0,Rome
492,Rusguniae,Numidia,sestertius,247.0,Rome
493,Rusguniae,Numidia,sestertius,247.0,Rome
494,Rusguniae,Numidia,sestertius,247.0,Rome
495,Rusguniae,Numidia,sestertius,247.0,Rome
496,Rusguniae,Numidia,sestertius,247.0,Rome
497,Rusguniae,Numidia,sestertius,247.0,Rome
498,Rusguniae,Numidia,sestertius,248.0,Rome
499,Rusguniae,Numidia,sestertius,250.0,Rome
500,Rusguniae,Numidia,sestertius,250.0,Rome
501,Rusguniae,Numidia,sestertius,250.0,Rome
502,Rusguniae,Numidia,sestertius,252.0,Rome
1415,Monastir,Proconsularis,denarius,78.0,Rome
1416,Monastir,Proconsularis,denarius,81.0,Rome
1417,Monastir,Proconsularis,denarius,96.0,Rome
1418,Monastir,Proconsularis,denarius,96.0,Rome
1419,Monastir,Proconsularis,denarius,97.0,Rome
1420,Monastir,Proconsularis,denarius,97.0,Rome
1421,Monastir,Proconsularis,denarius,97.0,Rome
1422,Monastir,Proconsularis,denarius,97.0,Rome
1423,Monastir,Proconsularis,denarius,97.0,Rome
1424,Monastir,Proconsularis,denarius,97.0,Rome
1425,Monastir,Proconsularis,denarius,97.0,Rome
1426,Monastir,Proconsularis,denarius,97.0,Rome
1427,Monastir,Proconsularis,denarius,98.0,Rome
1428,Monastir,Proconsularis,denarius,98.0,Rome
1429,Monastir,Proconsularis,denarius,98.0,Rome
1430,Monastir,Proconsularis,denarius,98.0,Rome
1431,Monastir,Proconsularis,denarius,98.0,Rome
1432,Monastir,Proconsularis,denarius,98.0,Rome
1433,Monastir,Proconsularis,denarius,98.0,Rome
1434,Monastir,Proconsularis,denarius,98.0,Rome
1435,Monastir,Proconsularis,denarius,98.0,Rome
1436,Monastir,Proconsularis,denarius,98.0,Rome
1437,Monastir,Proconsularis,denarius,100.0,Rome
